0,1,2,3,4,5,6,7
QT Bondi,,2,"You’ll bump into surfers and style-seekers at this hip boutique hotel, sister to the city’s vintage-chic QT Sydney. Showcasing video and photographic art by Australian Shaun Gladwell, the vibrant lobby celebrates surfers and beach life. Kitsch-cute flamingo and palm tree lights dot the seating nooks.",[],Sydney,https://www.cntraveler.com/hotels/sydney/qt-bondi,
"The Langham, Sydney","Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",3,"Five-star retreat The Langham, Sydney occupies a quiet spot in historic quarter The Rocks, within walking distance of Circular Quay, the CBD and harbourside Barangaroo. A cream-coloured modern building flanked by leafy trees, the hotel radiates indulgence as soon as you set foot in the grand marble-lined foyer, adorned with Australian art and a huge chandelier.","['How did it strike you on arrival?\nFive-star retreat The Langham, Sydney occupies a quiet spot in historic quarter The Rocks, within walking distance of Circular Quay, the CBD and harborside Barangaroo. A cream-coloured modern building flanked by leafy trees, the hotel radiates indulgence as soon as you set foot in the grand marble-lined foyer, adorned with Australian art and a huge chandelier.', 'Nice. What’s the crowd like?\nA well-heeled international set makes a beeline for luxe global chain The Langham, including leisure and business guests.', 'The good stuff: Tell us about your room.\nOffering oodles of space and elegant contemporary design, the 98 rooms and suites are light and airy, with views of the city or Western Harbour. Request expansive terraces for bragging rights. Decor includes panelled walls, hand-crafted furniture and a pretty palette of blue, bronze and grey.', 'We’re craving some deep, restorative sleep. They got us?\nSink into your Langham Blissful Bed, with the choice of King or two double beds. An extra bed for a third guest is available on request. Ultra-luxe suite The Residence sleeps four with two bedrooms and bathrooms.', 'How about the little things, like mini bar, or shower goodies. Any of that find its way into your suitcase?\nFrom a private bar to an espresso machine and cable TV, rooms tick all the wish list boxes.', 'Please tell us the bathroom won’t let us down.\nAll rooms have a marble bathroom with double basins and a separate bath and shower. Soft Langham bathrobes, slippers and Chuan Spa toiletries make you feel special.', 'Maybe the most important topic of all: Wi-Fi. What’s the word?\nRelax, in-room Wi-Fi is complimentary.', 'Room service: Worth it?\nRoom service is available 24 hours.', 'Staff: If you could award one a trophy, who gets it, and why?\nAsk the informed concierge to share Sydney tips.', 'Anything stand out about other services and features? Whether it’s childcare, gyms, spas, even parking—whatever stuck with you.\nAfternoon Tea with Wedgwood tableware in the chic Palm Court can be paired with Champagne. Bistro Remy harnesses local produce for tasty breakfasts and dinners, or enjoy casually elegant European-influenced day-long dining in the Palm Court. The free Langham Pink Taxi (a rose-hued London cab) ferries guests around the area for meetings, shopping and dining.', 'What was most memorable—or heartbreaking—about your stay?\nCanines rejoice! The Langham’s Pampered Pets programme extends five-star treatment to your furry friends for a fee, with pet-sitting and dog-walking services.', 'Bottom line: worth it, and why?\nLavish underground sanctuary The Day Spa by Chuan is renowned for healing massages, body treatments and facials. Work out in the state-of-the-art Health Club or unwind in the 20-metre indoor pool decorated with a star-dappled ceiling for dreamy laps. There’s even a championship-size tennis court opposite for budding Rafas and Serenas.']","89-113 Kent St., Millers Point, Sydney, New South Wales 2000, Australia",https://www.cntraveler.com/hotels/australia/sydney/the-langham-sydney,http://sydney.langhamhotels.com.au/
"Pier One Sydney Harbour, Autograph Collection",,3,"Tucked beside Sydney Harbour Bridge on a heritage-listed pier, this boutique escape offers stunning views of the bridge, harbour, Luna Park funfair and Walsh Bay’s wharves, near historic quarter The Rocks and Circular Quay.",[],"Sydney, Australia",https://www.cntraveler.com/hotels/sydney/pier-one-sydney-harbour-autograph-collection,
Establishment Hotel,,2,"In the heart of Sydney’s CBD (Central Business District), stylish, contemporary Establishment Hotel occupies a former warehouse, accessed via an alluring side door. The softly lit, flower-scented lobby lounge creates an instant sense of sanctuary. Don’t expect shy and retiring types. Establishment attracts city slickers, lovers of good times, and fans of fine food and drink, given owner Merivale’s impressive roster of bars and restaurants, including seven venues at this epicurean one-stop-shop.",[],Sydney,https://www.cntraveler.com/hotels/australia/sydney/establishment-hotel--sydney,
Larmont Sydney by Lancemore,"Readers' Choice Awards, 2018. Readers' Choice Awards, 2022.",1,"Behind the iconic Coca-Cola sign that dominates the main crossroads at Kings Cross, Larmont Sydney by Lancemore is a stylish high-rise getaway with lofty views of the city and harbour. The 24-hour reception area includes a cocooning breakout nook.",[],Sydney,https://www.cntraveler.com/hotels/sydney/larmont-sydney-by-lancemore,
Spicers Potts Point,"Readers' Choice Awards, 2018.",2,"Set in a pretty row of three white terrace houses in inner-city village Potts Point, Spicers Potts Point blends 1880s architecture with seamless modern extensions. It’s the first Sydney launch for the upscale Queensland hotel brand, which also has elegant New South Wales retreats in the Blue Mountains and Hunter Valley.",[],Sydney,https://www.cntraveler.com/hotels/sydney/spicers-potts-point,
Adina Apartment Hotel Bondi Beach Sydney,,1,"With its pastel-pretty, graphic façade there’s a dash of Miami about Adina Apartment Hotel Bondi Beach, a modern stay in a prime spot on Bondi’s foodie Hall Street, a few minutes’ walk from the iconic beach. From swimming in the surf to cocktails on the balcony, what’s not to like?",[],Sydney,https://www.cntraveler.com/hotels/sydney/adina-apartment-hotel-bondi-beach-sydney,
Four Seasons Hotel Sydney,"Readers' Choice Awards, 2017. Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2023.",3,"Between historic quarter The Rocks and the ferry-flocked Circular Quay, towering five-star Four Seasons Hotel Sydney has grand public areas and commands some of the best views in town. (Gazing over Sydney Opera House and Sydney Harbour Bridge never gets dull!) Decor in the 531 contemporary rooms and suites radiates quality, with generous windows that let the Instagram-friendly views do the talking. Sydney’s largest heated outdoor hotel pool and on-site Endota Spa will leave you feeling refreshed, with Australian-inspired, all-natural treatments, a sauna, steam room, Jacuzzi, and gym.","['How did it strike you on arrival?\nBetween historic quarter The Rocks and the ferry-flocked Circular Quay, towering five-star Four Seasons Hotel Sydney has grand public areas and commands some of the best views in town. Gazing over Sydney Opera House and Sydney Harbour Bridge never gets dull!', 'Nice. What’s the crowd like?\nThis luxury hotel brand attracts loyal followers, from international leisure guests to business travelers.', 'The good stuff: Tell us about your room.\nDecor in the 531 contemporary rooms and suites radiates quality. Generous windows let the Instagram-friendly views do the talking. Bag a Club Room or Club Suite for the highest vantage points, plus access to art-adorned Lounge 32 on the 32nd floor with exclusive privileges.', 'We’re craving some deep, restorative sleep. They got us?\nCustom-designed Signature Four Seasons Beds come with three mattress topper options, sumptuous 300-thread-count linen, tactile duvets and a choice of pillows (down or hypoallergenic). Temperature-controlled, quiet rooms help you nod off.', 'How about the little things, like mini bar, or shower goodies. Any of that find its way into your suitcase?\nYour refrigerated private bar has you covered for drinks.', 'Please tell us the bathroom won’t let us down.\nSpacious marble bathrooms, where a deep tubs, plush bathrobes and organic Australian Appelles products up the luxe factor.', 'Maybe the most important topic of all: Wi-Fi. What’s the word?\nComplimentary high-speed Wi-Fi in all rooms.', 'Room service: Worth it?\nSummon room service for restaurant-quality dining, from oysters to pizza, pasta and dim sum. Breakfast, all-day and 24-hour menus are tailored to time-zone hoppers, with a special children’s menu.', 'Staff: If you could award one a trophy, who gets it, and why?\nThe 10-strong team of savvy concierges includes two members of expert network Les Clefs d’Or.', 'Anything stand out about other services and features? Whether it’s childcare, gyms, spas, even parking—whatever stuck with you.\nMode Kitchen & Bar by the lobby whips up modern Australian dishes for a smart-casual lunch or dinner, foregrounding seasonal produce and fine local wines. Order gourmet salads, sandwiches and fish tacos by the pool at The Cabana in summer. Grain bar pours local craft beers, organic and biodynamic wines, global whiskies and creative cocktails.', 'What was most memorable—or heartbreaking—about your stay?\nSydney’s largest heated outdoor hotel pool and on-site Endota Spa will leave you feeling refreshed, with Australian-inspired, all-natural treatments, a sauna, steam room, Jacuzzi and gym.', 'Bottom line: worth it, and why?\nTop-notch views, dining, spa and service make for a pampering Sydney stay. The impressive location beside the CBD (Central Business District) is handy for retail therapy.']","199 George St., Sydney 2000, Australia",https://www.cntraveler.com/hotels/australia/sydney/four-seasons-hotel-sydney,http://www.fourseasons.com/sydney/
Fraser Suites Sydney,,1,"A slick 42-storey contemporary glass-and-steel skyscraper by acclaimed U.K.-based architect Norman Foster, Fraser Suites Sydney is in the Central Business District (CBD) near Town Hall Station. It’s a short walk to Hyde Park, Chinatown, Darling Harbour or the International Convention Centre Sydney.",[],Sydney,https://www.cntraveler.com/hotels/sydney/fraser-suites-sydney,
Hotel Ravesis,,2,"With its pretty white and flamingo-pink façade, arched windows and wraparound balcony, Hotel Ravesis commands one of the best corners on Bondi’s seafront Campbell Parade, with views across the road to the beach and ocean. The hotel has its own entry for check-in, separate from the ground-floor bar.",[],Sydney,https://www.cntraveler.com/hotels/sydney/hotel-ravesis,
Sofitel Sydney Darling Harbor,,3,"Rearing above Darling Harbour, the 2017-launched Sofitel Sydney Darling Harbour hotel is the area’s tallest skyscraper at 35 floors, promising lofty views across the water towards the city skyline. Exhibitionists can appreciate them from romantic freestanding baths!",[],Sydney,https://www.cntraveler.com/hotels/sydney/sofitel-sydney-darling-harbor,
The Darling,,2,"A luxurious, contemporary hotel, The Darling in Pyrmont turns heads with its lavish lobby, decorated with sculptural lighting and vibrant floral rugs by Australian fashion designer Akira Isogawa.","['How did it strike you on arrival?\nA luxurious, contemporary hotel, The Darling in Pyrmont turns heads with its lavish lobby, decorated with sculptural lighting and vibrant floral rugs by Australian fashion designer Akira Isogawa.', 'Nice. What’s the crowd like?\nHigh-rollers, corporate high-flyers and foodies head for The Darling, which is part of The Star casino, dining, shopping and nightlife complex near tourist-thronged Darling Harbour and the International Convention Centre Sydney.', 'The good stuff: Tell us about your room.\nChoose between 171 sleek, opulent modern rooms and suites, starting from a generous 34 square metres. Pyrmont-view Darling Rooms feature floor-to-ceiling windows, bespoke furniture, desks and bold wall art with nature motifs. Jewel, Adored and Stellar Suites offer separate bedrooms and living areas, with walk-in wardrobes and superior city views. Penthouses woo guests with high ceilings, two bedrooms, a living area, dining table and kitchen (one even has a karaoke room).', 'We’re craving some deep, restorative sleep. They got us?\nA pillow menu, Egyptian cotton sheets and 1,000-spring king or double beds feature in rooms.', 'Please tell us the bathroom won’t let us down.\nSeparated from bedrooms by a partial wall of double basins, marble bathing areas in Darling Rooms feature a rain shower with products from London’s Molton Brown. Suites team showers with deep baths (you can spy the Sydney Harbour Bridge from your Adored Suite tub). Select Stellar Suites and Penthouses have baths with spa jets.', 'Maybe the most important topic of all: Wi-Fi. What’s the word?\nWi-Fi is free throughout.', 'Staff: If you could award one a trophy, who gets it, and why?\nConsult clued-in concierges at the 24-hour reception.', ""Anything stand out about other services and features? Whether it’s childcare, gyms, spas, even parking—whatever stuck with you.\nTop-class restaurants beckon within The Star complex. San Francisco-born Chase Kojima’s Sokyo, off The Darling's lobby, offers an edgy spin on Japanese food with great breakfasts (also check out his casual rice burger joint Gojima). Momofuku Seiobo is the innovative Sydney outpost of US chef David Chang’s award-winning food empire. You can also dine at modern Italian Balla, steakhouse Black Bar & Grill and The Century for authentic Cantonese."", 'What was most memorable—or heartbreaking—about your stay?\nA pampering highlight, The Darling Spa has 11 treatments rooms, two couple’s suites, a hammam, steam room, sauna, Jacuzzi and fitness centre. The fifth-floor 25-metre heated outdoor pool is also a wow. Rev up afterwards at nightclub Marquee.', 'Bottom line: worth it, and why?\nThe hotel aims to seduce guests with luxury and flair, flanked by a casino, designer stores, bars and a theatre within The Star complex.']","The Star, 80 Pyrmont St., Sydney 2009, Australia",https://www.cntraveler.com/hotels/australia/sydney/the-darling,http://www.thedarling.com.au/
Medusa Hotel,,1,"A jaunty, white-shuttered red townhouse flanked by trees in the buzzy inner-city neighbourhood of Darlinghurst, veteran boutique hotel Medusa is an intimate retreat for a relaxed urban getaway.",[],Sydney,https://www.cntraveler.com/hotels/sydney/medusa-hotel,
Primus Hotel Sydney,,2,"For Art Deco allure you can’t beat Primus Hotel Sydney, launched in 2015 in the heart of the CBD (Central Business District). Architects Woods Bagot transformed the iconic 1939 former Sydney Water Board headquarters into a luxe urban retreat. The dramatic, elegant lobby sets the scene, with soaring red columns dwarfing the convivial clusters of pink lounge chairs below, and geometric rugs and wallpaper channelling the period.",[],Sydney,https://www.cntraveler.com/hotels/sydney/primus-hotel-sydney,
"Jonah's, Whale Beach",,3,"Just an hour’s drive north of Sydney, ocean retreat Jonah’s is a dreamy hilltop getaway above dramatic Whale Beach. For a small thrill, approach by air with a 20-minute scenic flight from the city’s Rose Bay Water Airport , landing on nearby Pittwater, where a courtesy vehicle will sweep you away from the jetty. Book well in advance for The Restaurant at Jonah's, a breezy, light space serving contemporary Australian cuisine with an Italian kick, and make sure to check in with the waiter about the restaurant's 1,600-bottle-strong wine cellar—there's probably something there for you.",[],Sydney,https://www.cntraveler.com/hotels/sydney/jonahs-whale-beach,
Veriu Broadway,,1,"A grunge-industrial aesthetic rules at Veriu Broadway in Ultimo, with vintage lounge chairs, bikes and exposed brick walls in the café-style lobby. On a side street off on of the city's main arteries, Broadway, the tall white 1900s building is a short walk from Central Station, handy for exploring nearby Chippendale, Glebe, Camperdown and Newtown neighborhoods.",[],Sydney,https://www.cntraveler.com/hotels/sydney/veriu-broadway,
"Shangri-La Hotel, Sydney","Readers' Choice Awards, 2017.",3,"For a breathtaking bird’s-eye view of the city, book into the Shangri-La. Perched above historic quarter The Rocks beside Circular Quay and the Central Business District, this high-end high-rise has lofty rooms and upscale drinking and dining to make the most of its dazzling views of Sydney Opera House and Sydney Harbour Bridge.","['How did it strike you on arrival?\nFor a breathtaking bird’s-eye view of the city, book into the Shangri-La. Perched above historic quarter The Rocks beside Circular Quay and the Central Business District, this high-end high-rise has lofty rooms and upscale drinking and dining to make the most of its dazzling views of Sydney Opera House and Sydney Harbour Bridge.', 'Nice. What’s the crowd like?\nThis luxury Asian hospitality player attracts a smart global audience. Dress to impress.', 'The good stuff: Tell us about your room.\nAll 564 elegant rooms and suites are spacious with harbor views, combining generous windows and contemporary furniture with iHome docks. Soothing neutral palettes team golds, browns, creams and greys with subtle patterns drawn from nature. Deluxe Darling Harbour Rooms start at 40 to 50 square metres, but Deluxe Opera House City View Rooms, one tier up, are the most popular, with partial views of the Sydney icon.', 'We’re craving some deep, restorative sleep. They got us?\nPlush duvets, signature bed linen and pillow menus turn guests into Sleeping Beauties.', 'How about the little things, like mini bar, or shower goodies. Any of that find its way into your suitcase?\nMini bars and coffee- and tea-making kit will make you feel at home (if your home is a five-star!).', 'Please tell us the bathroom won’t let us down.\nMarble bathrooms sport a separate shower and bath, with fluffy towels, bathrobes and Shangri-La products.', 'Maybe the most important topic of all: Wi-Fi. What’s the word?\nGuest rooms and all public areas offer complimentary Wi-Fi.', 'Room service: Worth it?\nPeckish? Order from the 24-hour in-room dining menu.', 'Staff: If you could award one a trophy, who gets it, and why?\nExecutive pastry chef Anna Polyviou, with her trademark mohawk, is the superstar behind the hotel’s dazzling sweet treats.', 'Anything stand out about other services and features? Whether it’s childcare, gyms, spas, even parking—whatever stuck with you.\nSavour contemporary Australian cuisine at Altitude restaurant, on level 36, where floor-to-ceiling windows flaunt vertiginous harbour views. Casual all-day diner Café Mix on Level 1 offers buffets and appeals to sweet tooths with its dessert station and chocolate fountain. The ground-floor Lobby Lounge hosts traditional and chocolate high teas, as well as tapas and cocktails, with lounge music.', 'What was most memorable—or heartbreaking—about your stay?\nIconic, New York-influenced Blu Bar on 36, high up on the 36th floor, is your go-to for cocktails, wine or bubbles with magical views over the Opera House and Harbour Bridge.', 'Bottom line: worth it, and why?\nSeeking a seductive sanctuary? CHI, The Spa at Shangri-La offers Asian pampering treatments and Australian healing techniques drawing on indigenous botanical ingredients. Relax with a massage, body therapy or facial, then hit the Health Club’s indoor swimming pool, Jacuzzi and sundeck.']","176 Cumberland St., The Rocks, Sydney 2000, Australia",https://www.cntraveler.com/hotels/australia/sydney/shangri-la-hotel--sydney,http://www.shangri-la.com/sydney/shangrila/
Harbour Rocks Hotel,,2,"Once a colonial warehouse, boutique charmer Harbour Rocks Hotel is set in a converted heritage brick building in Sydney’s oldest quarter The Rocks, a short stroll from Circular Quay. The hotel attracts a wide range of travelers from tourists to business folk.",[],Sydney,https://www.cntraveler.com/hotels/sydney/harbour-rocks-hotel,
"Dorado Beach, a Ritz-Carlton Reserve","Gold List, 2020. Readers' Choice Awards, 2017. Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",3,"Unlike with other properties on Puerto Rico's resort-heavy north shore, Dorado Beach's emphasis is on its setting. The resort has undergone many transformations (including after Hurricane Maria in 2017), but since Laurance Rockefeller built a sanctuary here it has been all about sea, sand, and green spaces. Rooms are bookended by beach-facing terraces and outdoor showers, and museum-quality art is scattered on tree branches. But it’s the Spa Botánico, a tropical wonderland that’s much more than the usual cluster of treatment rooms, that really sticks to Rockefeller’s approach. After visiting, you’ll remember the 95-year-old ficus at the entrance most clearly. That or the tree house in the canopy where you had the greatest massage of your life. ","[""Set the scene: What's this place all about?\nThe linear palms and manicured golf greens signal that the enclave of Dorado is different from others on the island. And indeed, it is: This is a luxury gated community where crypto-millionaires spend their downtime. The Ritz-Carlton Reserve here feels removed, yet the hotel is actually more plugged-in than it appears. Wood-planked walkways, a lily pond, and curated greenery welcome guests upon arrival, while ocean views and a two-mile stretch of sand immediately instill a sense of tranquility. Upon arrival, a staffer holds out a tray of tropical popsicles as a first touch of hospitality."", ""What's the backstory?\nThis land, first developed as a pineapple, grapefruit, and coconut plantation in 1905, it didn't become a resort until 1958, when tycoon Laurance Rockefeller developed it as a hotel and nature preserve. In 2012, Ritz-Carlton transformed it into its first Reserve property in the Americas. After Hurricane Maria, the resort closed for one year, reopening in October 2018 following a multi-million-dollar renovation."", ""How are the rooms? Any tips on what to book?\nEven the entry-level rooms are huge—nearly 1,000 square feet—and all embrace the natural surroundings with ample terraces and giant picture windows offering cinematic views of the ocean, along with outdoor and beach access. Outfitted with wood and marble, the interior design's coffee and sand tones defer to the vivid greens and brilliant blues outside. Water elements are abundant; all rooms include indoor and outdoor rainforest showers along with soaking tubs; some also feature private plunge pools. Villas and residences kick up the luxury with golf carts and private chefs for hire. The extravagant 8,000-square-foot Su Casa villa, recently renovated by Champalimaud, is the preferred stay for V-VIPs."", 'Is there a charge for Wi-Fi?\nWi-Fi is included in the $125-a-day resort fee.', 'Drinking and dining—what are we looking at?\nThe resort has made a post-hurricane commitment to increase local sourcing in its four restaurants, which include Coa, a grill concept with one of the largest wine cellars in the Caribbean; the Asian-influenced Positivo, where a sand floor nods to the idea of beach-to-table dining; and the family-friendly Encanto. If you want to do some of the work yourself, guests can participate in cooking classes at La Cocina Culinary Center.', 'And the service?\n Every room is assigned an \nembajador\n, a personal butler charged with enhancing experiences. They can arrange everything from helicopter tours to private yacht bookings to family photoshoots on the beach.', 'Who tends to stay here?\nWell-heeled golfers with their spouses and families; cashed-up honeymooners whose parents paid for their room as a wedding gift; Ritz-Carlton loyalists from all over the world.', ""Where's the hotel located, and what is there to do in the surrounding area?\nWhile it feels self-contained amid its 1,400 acres, the property abuts the residential Dorado Beach Resort & Club where guests can take advantage of more amenities, including Melao, a restaurant by celebrated local chef Mario Pagan. Downtown Dorado has every shop and service vital to a thriving community."", ""Is there anything you'd change?\nThe $125 resort fee seems high for a property that already has top-tier room rates."", ""Anything other features worth a mention?\nWe've been hinting at it, but Dorado is the go-to golf hub for the island. There are three pro courses, one designed by Robert Trent Jones and another by his son, Robert Trent Jones Jr. Other diversions are equally first-rate, such as the five-acre Spa Botanico, a paradise unto itself with treatment treehouses; the 11-mile Rockefeller Nature Trail, a haven for hikers, joggers, and cyclists (with free bikes provided by the property); the Watermill aquatic playground for kids; tennis courts; two pools; and watersports."", 'Bottom line: Worth it? Why?\nThis is an an ideal choice for those in search of tranquility and bespoke service.']","100 Dorado Beach Drive, Dorado 00646, Puerto Rico",https://www.cntraveler.com/hotels/dorado/dorado/dorado-beach-a-ritz-carlton-reserve,https://www.ritzcarlton.com/en/hotels/puerto-rico/dorado-beach
Fairmont El San Juan Hotel,"Readers' Choice Awards, 2017. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020. Readers' Choice Awards, 2021. Readers' Choice Awards, 2022. Readers' Choice Awards, 2023.",2,"El San Juan Hotel has one of the most dramatic lobbies on the island, with a glistening oval chandelier—the third largest of its kind in the world—shining in the center. It's a bright contrast to the intricately carved mahogany and polished marble in one of the hotels five bars that sits directly below. Tempting though it might be to linger, the beach and four pools will call you outside. The convenience factor doesn't hurt either as you can't get much closer to the airport than this.","[""What are your first impressions of this place?\nFairmont El San Juan Hotel has one of the most dramatic lobbies on the island, with a glistening oval chandelier—the third largest of its kind in the world—shining in the center. It's a bright contrast to the intricately carved mahogany and polished marble in one of the hotels five bars that sits directly below. It might be to linger, though, the beach and four pools will call you outside."", ""So what's the story behind the hotel?\nFirst opened in 1958, it was the axis for entertainment on the island, with a nightclub that drew legends like Frank Sinatra and Liza Minnelli. Throughout its run, the hotel has always retained a polished, dress-your-best ambience. Now part of Fairmont Hotels and Resorts, the hotel enlisted designer Jeffrey Beers to spearhead a $65 million renovation under the Hilton banner, unveiled in December 2018, that modernized the common spaces, restaurants, and bars while preserving the property's history and throwback elegance."", 'How are the rooms themselves? What are the different options?\nRooms in the Grand Tower have ocean, pool or city views and enough space for a proper sitting area. Villas, meanwhile, are centered around a pool, with outdoor space, large bathrooms, and complimentary breakfast. Varying levels of suites offer expanded living areas; the highest tier pulls out all the stops with a baby grand piano, private whirlpool, terraces, and more.', 'Is there a charge for Wi-Fi?\nWi-Fi is part of the 18 percent resort fee.', ""Any good food options on-site?\nThere are eight restaurants including the poolside Caña by Juliana González (serving local dishes such as pigeon pea stew and garlicky prawns with yucca mofongo); Aquarelle, an al fresco restaurant and bar; a branch of the popular Miami steakhouse Meat Market; an Italian restaurant; and a casual bistro. In addition to the Chandelier Bar, the hotel houses a rum bar, a wine bar, a cabaret bar, and a café specializing in local coffee. There are also three poolside and beachside bars, including one that's swim-up."", 'What type of travelers tend to stay here?\nBeach-lovers flock here for their sun fix.', ""What else is nearby?\nYou won’t get much closer to the airport—you can get from baggage claim to the beach in 10 minutes. Set in Isla Verde, the hotel is also a short taxi away from Piñones, where food lovers kiosk-hop to snack on all manner of deep-fried goodness. Also just down the road is Vivo Beach Club, another lovely sandy stretch that's great for a change of scenery. For those who enjoy some suds with their surf, Ocean Lab Brewing Co., one the island’s only craft breweries, is right onsite."", ""Is there anything you'd change?\nMore walkable attractions would be nice."", 'Anything else we should be sure to check out while staying here?\nFairmont El San Juan is bringing back casino chic to the island with its renovated casino, 15,000 square feet of gaming in partnership with Foxwoods. It also continues its nightclub tradition with Chico Cabaret, a speakeasy featuring live entertainment and Club Brava, a bi-level dance club with state-of-the-art sound and lighting. The Well & Being Spa has a fitness center with an outdoor rooftop (classes range from vertical wall yoga to water-focused workouts to indoor cycling). Pool dwellers can choose among the lounges, daybeds, or luxury cabanas spread among the four pools. You’d be remiss to not take advantage of the myriad water sports, from kayaking to parasailing. There’s a tennis center onsite, too.', 'Bottom line: Worth it?\nIt delivers three essential Bs: beach, bars, and by-the-airport.']","6063 Av. Isla Verde, Carolina, San Juan, Puerto Rico 00979, United States",https://www.cntraveler.com/hotels/san-juan/el-san-juan-resort-casino,https://www.fairmont.com/puerto-rico/
Royal Isabela,,3,"With a stone tower rising from a cliff, Royal Isabela resembles a fortress, especially from a distance. But La Casa, the property's main building, was actually patterned after an antique sugar mill: a tribute to the island’s agricultural history. The hotel painstakingly maintains its 426 oceanfront acres as part nature preserve, part golf course, with an ethic dedicated to conservation. Rainwater is recycled, an on-site organic farm supplies the restaurant, and even the golf course is sustainably maintained.","[""Why did this hotel catch your attention? What stands out as you first arrive?\nIt has to be the stone tower rising from a cliff. Royal Isabela resembles a fortress, especially from a distance. But La Casa, the property's main building, was actually patterned after an antique sugar mill: a tribute to the island’s agricultural history. The hotel painstakingly maintains its 426 oceanfront acres as part nature preserve, part golf course, with an ethic dedicated to conservation. Rainwater is recycled, an on-site organic farm supplies the restaurant, and even the golf course is sustainably maintained."", ""What's the backstory?\nFounded by brothers Stanley and Charlie Pasarell, tennis pros turned golf enthusiasts, the Royal Isabela opened in 2012, pioneering luxury tourism in the island's northwest."", 'The rooms themselves: What are they like?\nTwenty casitas, each with 1500 square feet of indoor and outdoor space, are clustered in the cliffs and surrounded by greenery. Features include tall, wood-beamed ceilings, cocoa-colored wood floors and furniture, large living rooms, private plunge pools, terraces, expansive bathrooms, and vast views.', 'Is there a charge for Wi-Fi?\nWi-Fi is part of the daily resort fee (20% of the daily rate).', 'How are the on-site dining options?\nThe best seats at Jota restaurant are on the outdoor terrace, which overlooks the ocean and the golf course. The restaurant sources fruits and vegetables grown on the property, and secures its fish from local waters. The Croquet Bar serves cocktails and small bites.', 'What type of traveler will you find here?\nNature lovers in golf clothing.', 'Where on the island is it located? What is there to do nearby?\nThe hotel is a 10-minute drive from the charming, sleepy beach town of Isabela, 30 minutes from Rafael Hernandez International airport in Aguadilla, and an hour and 45 minutes from San Juan.', 'What should we be sure to do while staying here?\nThe wildlife is one of the highlights—it’s as if Animal Planet is shooting a series on the front lawn. Take advantage of humpback whale sightings (from January to April), sea turtle sightings, and a natural aviary filled with birds and butterflies. La Casa has a large, centralized pool; the beach is a good climb down a pathway carved into the cliff; and the grounds have a grass tennis court and croquet lawn, too. Non-golfers have other options: fishing, kite surfing, kayaking, stand-up paddle boarding, hiking, and biking. Cooking classes, massages, and yoga are also available.', 'Bottom line: Worth it? Why?\nCome when privacy, luxury, nature, and golf are all priorities.']","396 Ave Noel Estrada , Isabela, Puerto Rico 00662, Spain",https://www.cntraveler.com/hotels/isabela/isabela/royal-isabela,https://royalisabela.com/
"The St. Regis Bahia Beach Resort, Puerto Rico","Readers' Choice Awards, 2017. Readers' Choice Awards, 2018. Readers' Choice Awards, 2019. Readers' Choice Awards, 2020.",3,"Built on a former sugar cane and coconut plantation, the luxurious St. Regis Bahia Beach originally opened in 2010. After Hurricane Maria, a $60 million renovation gave new life to the hotel, which was unveiled in December 2018. The 139 dolphin-gray and sand-dollar-white rooms were designed by celebrated local designer Nono Maldonado. You could hold a convention in the giant bathrooms, which have rain showers and soaking tubs. And the two-mile-long beach is yours to explore.",[],"Río Grande, Puerto Rico",https://www.cntraveler.com/hotels/rio-grande/rio-grande/st-regis-bahia-beach-resort-rio-grande,
